Name,RegisterNumber,Department,UserType,InTime,OutTime,Semester,BookName,BookTakenDate,BookReturnDate,BookAuthor,BookID,BookShelf,BookCategory,BalanceBookAvailability
User0058,REG197944,CIVIL,Teacher,12:49,08:29,V,Treasure Island,03-10-2024,19-10-2024,Robert Louis Stevenson,BID1506,Shelf-10,History,10
User0059,REG690072,EEE,Student,17:05,10:36,V,Animal Farm,16-05-2023,,George Orwell,BID8258,Shelf-6,Education,6
User0060,REG237665,ECE,Student,08:26,08:07,I,The Adventures of Tom Sawyer,13-01-2024,28-01-2024,Mark Twain,BID1404,Shelf-5,Science,0
User0061,REG952225,IT,Student,15:05,17:11,VIII,Pride and Prejudice,11-02-2023,20-02-2023,Jane Austen,BID6288,Shelf-7,Science,0
User0062,REG776972,ECE,Student,16:18,16:31,VII,Great Expectations,18-01-2024,,Charles Dickens,BID4711,Shelf-15,Reference,10
User0063,REG661669,MBA,Student,09:17,13:28,II,Animal Farm,24-06-2023,10-07-2023,George Orwell,BID4644,Shelf-16,Reference,8
User0064,REG150905,CSE,Teacher,12:46,13:44,I,Animal Farm,03-10-2023,,George Orwell,BID5938,Shelf-14,Technology,1
User0065,REG521064,EEE,Teacher,15:44,14:28,I,The Alchemist,18-07-2024,27-07-2024,Paulo Coelho,BID8723,Shelf-6,Education,0
User0066,REG827322,MECH,Student,12:52,11:37,VIII,The Adventures of Tom Sawyer,25-11-2024,09-12-2024,Mark Twain,BID3633,Shelf-9,Fiction,4
User0067,REG852499,CIVIL,Teacher,11:53,08:47,V,The Alchemist,02-10-2024,03-10-2024,Paulo Coelho,BID2725,Shelf-3,Reference,4
User0068,REG905812,AI&DS,Student,17:26,08:18,II,The Lord of the Rings,02-02-2024,15-02-2024,J.R.R. Tolkien,BID3017,Shelf-13,Science,5
User0069,REG535939,CSE,Student,09:01,09:19,IV,Brave New World,23-12-2024,27-12-2024,Aldous Huxley,BID5988,Shelf-8,Technology,5
User0070,REG473781,IT,Student,13:22,09:18,VII,War and Peace,14-01-2024,28-01-2024,Leo Tolstoy,BID3050,Shelf-7,Fiction,3
User0071,REG875591,IT,Student,09:34,09:08,VIII,To Kill a Mockingbird,01-01-2025,,Harper Lee,BID2993,Shelf-18,Reference,2
User0072,REG585587,AI&DS,Teacher,10:07,12:22,V,Alice's Adventures in Wonderland,06-03-2024,07-03-2024,Lewis Carroll,BID7325,Shelf-20,History,5
User0073,REG723401,CSE,Student,16:46,17:57,IV,The Adventures of Tom Sawyer,07-06-2024,16-06-2024,Mark Twain,BID2219,Shelf-17,Technology,10
User0074,REG593484,ECE,Teacher,09:41,08:40,VIII,The Adventures of Tom Sawyer,07-02-2024,,Mark Twain,BID3705,Shelf-16,Reference,5
User0075,REG903454,MECH,Teacher,11:13,14:18,VIII,Pride and Prejudice,24-02-2024,09-03-2024,Jane Austen,BID4679,Shelf-14,General,3
User0076,REG384387,IT,Student,13:53,10:40,I,Animal Farm,27-02-2023,17-03-2023,George Orwell,BID4581,Shelf-12,Technology,9
User0077,REG553122,EEE,Teacher,10:21,12:55,IV,Brave New World,25-06-2024,26-06-2024,Aldous Huxley,BID6822,Shelf-17,History,3
User0078,REG861322,MBA,Teacher,11:41,11:49,V,Alice's Adventures in Wonderland,10-03-2024,,Lewis Carroll,BID6212,Shelf-8,Comics,10
User0079,REG364152,EEE,Teacher,12:42,16:05,VII,Moby-Dick,09-12-2024,22-12-2024,Herman Melville,BID8197,Shelf-4,Science,8
User0080,REG221218,ECE,Student,12:53,11:16,VII,1984,18-06-2024,24-06-2024,George Orwell,BID7556,Shelf-20,History,7
User0081,REG533742,IT,Teacher,14:17,08:42,II,The Catcher in the Rye,28-10-2023,10-11-2023,J.D. Salinger,BID2961,Shelf-17,General,7
User0082,REG571562,IT,Teacher,10:30,13:36,I,The Adventures of Tom Sawyer,17-01-2023,06-02-2023,Mark Twain,BID9938,Shelf-11,Reference,4
User0083,REG664898,IT,Student,17:37,16:21,II,Alice's Adventures in Wonderland,15-08-2023,,Lewis Carroll,BID9012,Shelf-14,Education,6
User0084,REG468058,ECE,Student,13:25,14:29,VIII,The Adventures of Tom Sawyer,20-09-2023,30-09-2023,Mark Twain,BID5523,Shelf-14,Reference,1
User0085,REG522096,EEE,Student,14:38,15:13,III,The Hobbit,09-12-2024,25-12-2024,J.R.R. Tolkien,BID8690,Shelf-6,History,5
User0086,REG752027,EEE,Student,11:14,10:11,III,To Kill a Mockingbird,10-07-2024,,Harper Lee,BID8081,Shelf-11,Education,5
User0087,REG503547,CSE,Student,15:57,11:54,VII,Pride and Prejudice,12-02-2024,14-02-2024,Jane Austen,BID5974,Shelf-2,History,0
User0088,REG643238,ECE,Student,15:39,10:22,IV,The Adventures of Tom Sawyer,23-09-2024,27-09-2024,Mark Twain,BID9486,Shelf-10,Reference,6
User0089,REG807780,IT,Student,13:38,09:31,III,The Adventures of Tom Sawyer,06-04-2023,22-04-2023,Mark Twain,BID1566,Shelf-2,Science,7
User0090,REG125614,ECE,Student,13:17,08:52,III,Great Expectations,07-02-2023,13-02-2023,Charles Dickens,BID6777,Shelf-4,History,7
User0091,REG115024,CSE,Student,08:52,17:06,II,To Kill a Mockingbird,19-01-2024,22-01-2024,Harper Lee,BID9611,Shelf-8,Education,4
User0092,REG662134,AI&DS,Teacher,17:44,10:27,VII,To Kill a Mockingbird,05-05-2023,23-05-2023,Harper Lee,BID4460,Shelf-13,Education,1
User0093,REG455484,ECE,Student,10:40,11:52,VIII,Animal Farm,21-11-2024,11-12-2024,George Orwell,BID7480,Shelf-14,Reference,1
User0094,REG293568,MBA,Student,09:13,12:15,IV,The Catcher in the Rye,01-09-2024,,J.D. Salinger,BID9699,Shelf-1,Science,3
User0095,REG501892,IT,Teacher,09:41,12:49,III,Alice's Adventures in Wonderland,21-11-2024,11-12-2024,Lewis Carroll,BID3077,Shelf-7,Reference,2
User0096,REG168499,IT,Teacher,14:47,10:04,II,Great Expectations,26-11-2023,04-12-2023,Charles Dickens,BID1582,Shelf-15,Reference,10
User0097,REG789707,MECH,Student,14:35,09:17,II,Pride and Prejudice,29-06-2023,08-07-2023,Jane Austen,BID8213,Shelf-7,Science,0
User0098,REG573593,CSE,Student,14:48,12:53,IV,Moby-Dick,16-08-2024,,Herman Melville,BID1831,Shelf-20,General,9
User0099,REG112193,CSE,Student,08:04,10:01,VII,The Adventures of Tom Sawyer,09-06-2023,19-06-2023,Mark Twain,BID6537,Shelf-10,Comics,0
User0100,REG345746,CSE,Student,13:04,08:57,VII,Brave New World,19-11-2023,26-11-2023,Aldous Huxley,BID9890,Shelf-5,Comics,0
User0101,REG178651,AI&DS,Teacher,17:37,09:59,VIII,1984,28-01-2023,06-02-2023,George Orwell,BID9993,Shelf-16,Comics,2
User0102,REG958746,AI&DS,Student,11:15,12:20,I,Pride and Prejudice,20-04-2023,21-04-2023,Jane Austen,BID3872,Shelf-9,Fiction,7
User0103,REG138704,CSE,Student,11:59,15:47,VIII,The Hobbit,25-10-2024,03-11-2024,J.R.R. Tolkien,BID1641,Shelf-14,Comics,10
User0104,REG948987,EEE,Teacher,14:38,15:28,I,To Kill a Mockingbird,21-01-2024,03-02-2024,Harper Lee,BID9837,Shelf-14,Technology,2
User0105,REG984040,MBA,Teacher,08:08,12:33,I,The Alchemist,14-02-2023,23-02-2023,Paulo Coelho,BID5395,Shelf-11,Fiction,0
User0106,REG570842,MECH,Teacher,17:27,12:09,VI,To Kill a Mockingbird,01-05-2024,20-05-2024,Harper Lee,BID1553,Shelf-10,General,5
User0107,REG353835,ECE,Teacher,14:10,17:23,I,The Hobbit,08-09-2024,21-09-2024,J.R.R. Tolkien,BID2444,Shelf-9,Science,6
User0108,REG962636,MECH,Teacher,12:05,08:55,I,The Catcher in the Rye,04-07-2024,10-07-2024,J.D. Salinger,BID3845,Shelf-19,Reference,3
User0109,REG350277,EEE,Student,16:29,15:59,III,The Catcher in the Rye,27-03-2024,29-03-2024,J.D. Salinger,BID3773,Shelf-11,Comics,3
User0110,REG320656,EEE,Student,10:54,08:41,I,The Lord of the Rings,14-10-2024,,J.R.R. Tolkien,BID4364,Shelf-8,Fiction,8
User0111,REG711205,CSE,Teacher,10:58,15:09,III,The Adventures of Tom Sawyer,22-05-2023,,Mark Twain,BID6437,Shelf-11,Reference,7
User0112,REG278818,AI&DS,Teacher,08:57,12:31,I,The Catcher in the Rye,19-04-2023,08-05-2023,J.D. Salinger,BID3971,Shelf-13,Reference,0
User0113,REG293804,MECH,Teacher,11:33,13:29,VII,The Alchemist,03-05-2024,06-05-2024,Paulo Coelho,BID3442,Shelf-17,History,10
User0114,REG821229,MBA,Teacher,17:21,17:16,VII,Brave New World,24-03-2023,08-04-2023,Aldous Huxley,BID3026,Shelf-5,Comics,4
User0115,REG681522,IT,Student,14:54,13:29,I,Moby-Dick,07-06-2023,26-06-2023,Herman Melville,BID7309,Shelf-20,Technology,7
User0116,REG566541,MECH,Teacher,12:47,08:42,I,The Lord of the Rings,06-11-2024,23-11-2024,J.R.R. Tolkien,BID7543,Shelf-13,Science,7
User0117,REG954365,ECE,Student,09:30,11:32,I,The Adventures of Tom Sawyer,05-05-2023,24-05-2023,Mark Twain,BID2681,Shelf-5,Science,10
User0118,REG486972,CIVIL,Teacher,10:39,14:22,VI,Treasure Island,13-01-2024,18-01-2024,Robert Louis Stevenson,BID9836,Shelf-14,Education,4
User0119,REG222622,EEE,Teacher,14:47,15:50,VIII,Great Expectations,01-10-2023,10-10-2023,Charles Dickens,BID1530,Shelf-17,Reference,7
User0120,REG158399,IT,Teacher,10:51,15:49,III,The Hobbit,29-03-2023,06-04-2023,J.R.R. Tolkien,BID4865,Shelf-14,Technology,8
User0121,REG235073,AI&DS,Student,13:20,10:41,VII,The Alchemist,11-10-2024,12-10-2024,Paulo Coelho,BID5695,Shelf-11,Science,4
User0122,REG791930,ECE,Student,08:46,17:40,VI,Animal Farm,13-06-2023,18-06-2023,George Orwell,BID3995,Shelf-18,Fiction,6
User0123,REG416841,CSE,Teacher,11:14,13:52,I,To Kill a Mockingbird,13-07-2024,,Harper Lee,BID9663,Shelf-13,History,2
User0124,REG995152,CIVIL,Teacher,17:37,15:41,III,The Lord of the Rings,14-02-2024,03-03-2024,J.R.R. Tolkien,BID7105,Shelf-5,Fiction,2
User0125,REG246333,IT,Teacher,10:27,14:07,I,Animal Farm,06-09-2024,11-09-2024,George Orwell,BID7200,Shelf-2,History,8
User0126,REG260928,MBA,Teacher,09:48,10:04,VII,To Kill a Mockingbird,15-04-2024,28-04-2024,Harper Lee,BID5888,Shelf-1,Reference,0
User0127,REG305769,AI&DS,Teacher,13:43,15:04,VI,Pride and Prejudice,19-01-2024,30-01-2024,Jane Austen,BID4878,Shelf-17,General,10
User0128,REG430508,CIVIL,Teacher,08:34,13:58,VII,Great Expectations,09-03-2024,17-03-2024,Charles Dickens,BID9442,Shelf-14,Education,9
User0129,REG598125,ECE,Teacher,09:44,13:35,V,1984,07-10-2024,23-10-2024,George Orwell,BID1370,Shelf-16,Science,7
User0130,REG147421,CSE,Teacher,10:01,11:49,V,The Catcher in the Rye,19-07-2023,01-08-2023,J.D. Salinger,BID7575,Shelf-2,History,1
User0131,REG678992,MBA,Student,11:05,08:08,III,Great Expectations,24-04-2023,13-05-2023,Charles Dickens,BID5228,Shelf-17,History,8
User0132,REG211665,IT,Teacher,13:11,09:08,V,Animal Farm,06-05-2024,,George Orwell,BID7904,Shelf-3,Technology,6
User0133,REG209535,CSE,Student,11:05,10:23,II,The Catcher in the Rye,28-09-2023,13-10-2023,J.D. Salinger,BID1816,Shelf-2,Science,1
User0134,REG497145,AI&DS,Teacher,16:28,12:14,IV,The Alchemist,21-12-2024,,Paulo Coelho,BID5930,Shelf-16,Fiction,2
User0135,REG445165,CSE,Teacher,13:42,12:51,IV,Treasure Island,28-09-2024,,Robert Louis Stevenson,BID3386,Shelf-5,Science,4
User0136,REG919510,CSE,Student,12:08,12:54,I,1984,23-12-2024,29-12-2024,George Orwell,BID3140,Shelf-16,Fiction,1
User0137,REG416504,AI&DS,Student,16:29,16:32,VII,The Catcher in the Rye,13-06-2023,25-06-2023,J.D. Salinger,BID1996,Shelf-17,Technology,10
User0138,REG434560,CIVIL,Teacher,16:14,17:37,I,Brave New World,18-01-2023,25-01-2023,Aldous Huxley,BID6124,Shelf-2,Fiction,8
User0139,REG714595,MECH,Teacher,17:54,14:50,VI,Treasure Island,01-11-2023,20-11-2023,Robert Louis Stevenson,BID2669,Shelf-1,Science,0
User0140,REG478730,CSE,Teacher,13:50,08:43,IV,1984,15-02-2023,19-02-2023,George Orwell,BID2331,Shelf-1,Fiction,10
User0141,REG108053,MBA,Teacher,08:14,14:02,VIII,Animal Farm,15-09-2023,03-10-2023,George Orwell,BID7231,Shelf-5,General,2
User0142,REG653561,ECE,Student,12:57,15:02,VII,The Hobbit,21-08-2024,06-09-2024,J.R.R. Tolkien,BID7352,Shelf-14,Comics,8
User0143,REG275560,CSE,Teacher,08:51,10:27,II,Animal Farm,15-07-2024,20-07-2024,George Orwell,BID7391,Shelf-18,Fiction,4
User0144,REG389626,ECE,Teacher,14:10,16:29,VIII,The Alchemist,28-06-2024,05-07-2024,Paulo Coelho,BID6369,Shelf-6,Education,8
User0145,REG882717,MBA,Student,13:00,09:48,III,Treasure Island,10-04-2023,24-04-2023,Robert Louis Stevenson,BID4588,Shelf-16,Comics,9
User0146,REG124813,ECE,Student,16:18,08:23,I,Treasure Island,21-08-2024,06-09-2024,Robert Louis Stevenson,BID3436,Shelf-4,Comics,0
User0147,REG399508,AI&DS,Teacher,14:24,12:32,IV,Pride and Prejudice,27-10-2024,28-10-2024,Jane Austen,BID6344,Shelf-15,General,10
User0148,REG748721,MECH,Teacher,11:57,14:55,IV,Animal Farm,27-11-2024,14-12-2024,George Orwell,BID7649,Shelf-18,Comics,0
User0149,REG742049,ECE,Teacher,12:35,08:20,IV,Treasure Island,27-10-2024,04-11-2024,Robert Louis Stevenson,BID5315,Shelf-6,Education,10
User0150,REG671002,MECH,Student,13:23,13:50,I,The Lord of the Rings,01-03-2023,,J.R.R. Tolkien,BID3142,Shelf-12,Reference,7
User0151,REG638382,CSE,Teacher,16:51,13:22,III,Moby-Dick,15-03-2024,29-03-2024,Herman Melville,BID9102,Shelf-6,History,10
User0152,REG643138,EEE,Teacher,08:53,12:18,VII,The Catcher in the Rye,02-04-2023,09-04-2023,J.D. Salinger,BID8751,Shelf-5,Science,6
User0153,REG175910,MBA,Student,11:44,14:51,VII,Alice's Adventures in Wonderland,27-08-2023,09-09-2023,Lewis Carroll,BID7324,Shelf-2,Comics,6
User0154,REG431805,MBA,Student,15:13,10:01,VII,The Alchemist,13-11-2024,25-11-2024,Paulo Coelho,BID7162,Shelf-14,Reference,0
User0155,REG374642,CIVIL,Student,10:16,12:44,I,The Alchemist,01-03-2023,18-03-2023,Paulo Coelho,BID7858,Shelf-15,Science,0
User0156,REG864193,AI&DS,Student,16:49,11:46,V,Pride and Prejudice,21-04-2024,,Jane Austen,BID5253,Shelf-17,General,7
User0157,REG695194,MBA,Student,15:32,14:57,V,Treasure Island,23-05-2024,31-05-2024,Robert Louis Stevenson,BID4119,Shelf-8,Reference,4
User0158,REG234308,CSE,Student,15:30,12:16,VII,The Catcher in the Rye,02-02-2024,08-02-2024,J.D. Salinger,BID5491,Shelf-18,Education,2
User0159,REG583806,MECH,Student,10:22,16:43,V,The Adventures of Tom Sawyer,29-01-2024,02-02-2024,Mark Twain,BID2085,Shelf-19,Science,10
User0160,REG719335,IT,Teacher,15:11,10:10,VIII,Great Expectations,02-10-2023,07-10-2023,Charles Dickens,BID5563,Shelf-20,History,8
User0161,REG610918,MBA,Teacher,14:45,15:11,VI,Alice's Adventures in Wonderland,24-03-2023,13-04-2023,Lewis Carroll,BID4377,Shelf-19,Fiction,5
User0162,REG120927,AI&DS,Student,12:08,09:00,IV,The Lord of the Rings,05-09-2023,,J.R.R. Tolkien,BID5934,Shelf-13,Science,4
User0163,REG377180,MECH,Student,11:10,13:45,I,Great Expectations,12-09-2024,22-09-2024,Charles Dickens,BID7489,Shelf-3,Reference,2
User0164,REG619930,IT,Student,10:58,14:40,VII,Alice's Adventures in Wonderland,14-07-2024,31-07-2024,Lewis Carroll,BID8218,Shelf-18,Reference,2
User0165,REG695018,CSE,Student,10:13,15:35,II,The Adventures of Tom Sawyer,17-05-2024,,Mark Twain,BID7983,Shelf-19,History,3
User0166,REG724488,MECH,Teacher,08:53,16:39,V,1984,18-10-2024,21-10-2024,George Orwell,BID3506,Shelf-14,Education,4
User0167,REG619777,CSE,Teacher,17:01,08:21,VI,War and Peace,25-10-2023,07-11-2023,Leo Tolstoy,BID6443,Shelf-8,Fiction,3
User0168,REG864203,CSE,Student,17:39,14:11,VI,War and Peace,10-07-2024,30-07-2024,Leo Tolstoy,BID8449,Shelf-6,Science,0
User0169,REG956327,MECH,Student,17:13,11:22,V,To Kill a Mockingbird,16-06-2023,04-07-2023,Harper Lee,BID2625,Shelf-14,Fiction,9
User0170,REG238132,IT,Teacher,16:00,15:49,IV,War and Peace,27-12-2024,29-12-2024,Leo Tolstoy,BID3016,Shelf-10,Comics,9
User0171,REG632886,AI&DS,Student,11:13,17:23,II,The Hobbit,26-04-2023,15-05-2023,J.R.R. Tolkien,BID8980,Shelf-8,Fiction,6
User0172,REG911382,MBA,Teacher,10:18,14:01,I,Brave New World,08-09-2023,,Aldous Huxley,BID7956,Shelf-11,Fiction,4
User0173,REG660326,ECE,Student,10:01,12:59,V,The Alchemist,04-06-2024,07-06-2024,Paulo Coelho,BID1007,Shelf-1,Fiction,10
User0174,REG710081,ECE,Teacher,09:02,16:05,III,The Alchemist,13-10-2023,14-10-2023,Paulo Coelho,BID8397,Shelf-7,Fiction,8
User0175,REG493662,EEE,Teacher,11:28,12:12,III,The Catcher in the Rye,03-07-2024,20-07-2024,J.D. Salinger,BID4161,Shelf-11,Reference,8
User0176,REG893583,CIVIL,Student,08:29,13:25,VI,The Adventures of Tom Sawyer,02-03-2024,05-03-2024,Mark Twain,BID1008,Shelf-6,General,10
User0177,REG169338,IT,Student,14:19,13:23,V,The Alchemist,30-08-2024,,Paulo Coelho,BID1374,Shelf-14,Technology,9
User0178,REG639437,EEE,Student,12:24,16:05,VI,War and Peace,09-10-2023,18-10-2023,Leo Tolstoy,BID8167,Shelf-1,General,3
User0179,REG119273,ECE,Student,12:23,09:34,VI,Pride and Prejudice,10-08-2024,16-08-2024,Jane Austen,BID7542,Shelf-2,Comics,7
User0180,REG655255,CSE,Teacher,10:09,09:24,I,The Adventures of Tom Sawyer,17-07-2024,,Mark Twain,BID1588,Shelf-3,Reference,6
User0181,REG939135,CSE,Student,14:23,12:46,IV,To Kill a Mockingbird,30-04-2024,10-05-2024,Harper Lee,BID3769,Shelf-8,Technology,2
User0182,REG404734,IT,Teacher,13:18,10:32,VIII,Brave New World,22-01-2024,,Aldous Huxley,BID5595,Shelf-12,Education,9
